"Print Date": 2019-MAY-22 21:05
"Formation Code","Formation Name"
"0175","MESOZOIC"
"4545","MICA"
"9972","MIDDLE APPEKUNNY"
"8390","MIDDLE DEVONIAN"
"9962","MIDDLE SIYEH"
"2835","MINNES"
"7000","MISSISSIPPIAN"
"2852","MIST MOUNTAIN"
"2837","MONACH"
"2839","MONTIETH"
"5000","MONTNEY"
"2853","MOOSE MOUNTAIN MEMBER"
"1870","MOOSEBAR"
"2845","MORRISSEY"
"8155","MOUNT HAWK"
"7380","MOUNT HEAD"
"9112","MOUNT WHYTE"
"6215","MOWITCH"
"9925","MOYIE INTRUSIONS"
"0108","MUD BAY"
"8750","MUNCHO-MCCONNELL"
"8530","MUSKEG"
"1390","MUSKIKI"
"8290","MUSKWA"
"8295","MUSKWA-OTTER PARK"
"8300","MUSKWA-OTTER PARK-SLAVE POINT"
"8580","NAHANNI"
"8585","NAHANNI-HEADLESS"
"0500","NANAMIO GROUP"
"4530","NANCY"
"0670","NEWCASTLE"
"2850","NIKANASSIN"
"8190","NISKU"
"8780","NONDA"
"3200","NORDEGG"
"4040","NORDEGG-BALDONNEL"
"4580","NORTH PINE"
"0630","NORTHUMBERLAND"
"0000","NOT DEFINED"
"2400","NOTIKEWIN"
"8900","ORDOVICIAN"
"8395","OTTER PARK"
"4507","OWL"
"2000","PADDY"
"2010","PADDY- CADOTTE"
"5999","PALEOZOIC"
"8110","PALLISER"
"4050","PARDONET"
"4060","PARDONET-BALDONNEL"
"3000","PASSAGE BEDS"
"2330","PEACE RIVER"
"8282","PEECHEE"
"7600","PEKISKO"
"7610","PEKISKO CARBONATE"
"0675","PENDER"
"8283","PERDRIX"
"6000","PERMIAN"
"6100","PERMO CARBONIFEROUS"
"6110","PERMO PENNSYLVANIAN"
"9935","PHILLIPS"
"9108","PIKA"
"8600","PINE POINT"
"4590","PINGEL"
"4537","PINK MARKER"
"0060","PLEISTOCENE"
"3040","POKER CHIP"
"1415","POUCE COUPE"
"8752","PRE-DEVONIAN"
"8755","PRE-DEVONIAN QUARTZITE"
"0075","PRE-TERTIARY"
"9900","PRECAMBRIAN"
"8460","PRESQU'ILE"
"7386","PROPHET"
"0660","PROTECTION"
"9950","PURCELL LAVA"
"9920","PURCELL SYSTEM"
"4591","PURPLE MARKER"
"1365","PUSKWASKAU"
